X_Minimum,Square_Index,Length_of_Conveyer,Y_Perimeter,Edges_Y_Index,Maximum_of_Luminosity,X_Perimeter,Orientation_Index,Luminosity_Index,Empty_Index,Log_Y_Index,Outside_Global_Index,Minimum_of_Luminosity,Outside_X_Index,Edges_X_Index,Steel_Plate_Thickness,Y_Maximum,Edges_Index,Pixels_Areas,SigmoidOfAreas,LogOfAreas,Sum_of_Luminosity,TypeOfSteel_A400,TypeOfSteel_A300,Y_Minimum,Log_X_Index,X_Maximum,label
0.5571847507331378,0.5798124432792175,0.23456790123456805,0.0006060272161313426,1.0,0.4814814814814815,0.0006700488178424428,0.7099914258334595,0.5855575868372943,0.2648585655260091,0.25341066522647754,1.0,0.5665024630541872,0.004231473010064043,0.7745535714285714,0.5192307692307693,0.0651206443155857,0.5954581993569132,0.0003995990907482984,0.07968217934165722,0.30685891002928706,0.0006477347745230764,1.0,0.0,0.06512073963159397,0.19620641159712954,0.5576360444704506,0
0.0,0.10930725017646466,0.231040564373898,0.006556112610875433,1.0,0.25925925925925924,0.008710634631951757,0.9453270792353864,0.3526508226691042,0.5474096832291557,0.4882241059478245,1.0,0.2512315270935961,0.010064043915827995,0.13808847402597402,0.11538461538461542,0.05166741031947695,0.0,0.0053061518607560925,0.9998864926220205,0.5342535892026953,0.005177219475110524,0.0,1.0,0.05165916605943063,0.3047491976488406,0.005851375073142189,0
0.02404692082111437,0.9554300695774932,0.30511463844797193,0.0257837033772244,0.33680117696511136,0.4907407407407407,0.07217382980760027,0.4775306400363142,0.5526508226691043,0.5216654306600276,0.5255124803343744,0.0,0.1083743842364532,0.1461573650503202,0.2282873376623377,0.0,0.07578394769943196,0.05888263665594856,0.10411849095661402,1.0,0.7987998443484137,0.15936397759534765,1.0,0.0,0.07577165583194265,0.705600230788648,0.12755997659449972,0
0.02287390029325513,0.973479883029142,0.30864197530864196,0.017023855434962258,0.46437578814628,0.4907407407407407,0.04766918732650522,0.5130882130428205,0.5538695917123705,0.4326729526432885,0.5123159649658346,1.0,0.15270935960591134,0.11905306495882888,0.2857142857142857,0.0,0.11353167190613213,0.05586816720257234,0.08717155902602634,1.0,0.7829889200647183,0.13371409463277373,1.0,0.0,0.11352105304473503,0.6740831560347625,0.10708016383850204,0
0.6879765395894428,0.5733588786931532,0.22222222222222232,0.0013773345821166878,1.0,0.3935185185185185,0.0017229826744519956,0.7132193473546176,0.4925655088360756,0.3586184977222164,0.33226101862070584,1.0,0.3793103448275862,0.010978956999085084,0.7463474025974025,0.038461538461538464,0.08209626585629053,0.2450763665594856,0.0016770060201895802,0.5938706015891033,0.4322608392897373,0.002284412505939869,0.0,1.0,0.08209530751565236,0.3155674155277487,0.6928028086600351,0
0.6293255131964809,0.4841181809014824,0.7054673721340388,0.002644482397664041,0.8713745271122321,0.4814814814814815,0.00507322676366421,0.7578554496393808,0.6368068251066423,0.4587350354910478,0.3835677554183201,1.0,0.625615763546798,0.01303751143641354,0.37276785714285693,0.0,0.006928142801060753,0.6583601286173634,0.0033409104308464296,0.9796821793416572,0.4932312040469413,0.005892937068270279,1.0,0.0,0.006925764826593186,0.3682521365980311,0.6377998829724985,0
0.17595307917888564,0.9224563880205708,0.7566137566137567,0.0007162139827006776,0.924968474148802,0.40740740740740733,0.0009572125969177756,0.5386089675694761,0.5119439366240097,0.21728996715753787,0.2615586916195083,1.0,0.4187192118226601,0.00651875571820677,1.0,0.2307692307692308,0.2048397315207926,0.3640474276527332,0.0007991981814965968,0.17582292849035186,0.3670919777991685,0.001130257496141026,0.0,1.0,0.20483995430534396,0.2806245717788756,0.1802223522527794,0
0.02404692082111437,0.3725925178985581,0.231040564373898,0.008759847942262134,0.3957545187053384,0.4027777777777778,0.02747200153154016,0.18600897765673075,0.4996343692870201,0.5146731645301409,0.43029563012186817,0.0,0.21182266009852216,0.1499313815187557,0.617288961038961,0.0,0.33527854009038466,0.060691318327974274,0.04121766358997202,1.0,0.7163864255432445,0.057043278828597374,1.0,0.0,0.3352747168176995,0.7047347733583355,0.1269748390871855,0
0.1466275659824047,0.9180195623676516,0.7742504409171076,0.01079830312379483,0.551912568306011,0.4490740740740741,0.030439360581985264,0.4588187824683513,0.4928092626447288,0.5933891302044708,0.4820954751449973,0.0,0.19704433497536947,0.08268526989935955,0.3754058441558441,0.0,0.27912679547472885,0.3015474276527331,0.04003851873202623,1.0,0.7138058860876155,0.05465292355452826,1.0,0.0,0.2791194233950075,0.6450903321192889,0.2159157401989468,0
0.04340175953079179,0.09004739336492892,0.8112874779541448,0.009145501625254808,0.9810844892812104,0.4907407407407407,0.0042117354264382114,0.954960407525092,0.5690432663010361,0.4514249390825299,0.5200648085096391,1.0,0.2610837438423645,0.009149130832570905,0.3382711038961038,0.4230769230769231,0.05951667086768876,0.08812299035369775,0.009852410368613784,1.0,0.5891822147582281,0.015526050705520168,1.0,0.0,0.0595050485137874,0.32566441888139624,0.05032182562902282,0
